Issue Type,Category,Course Name,Assignee,Assignee Id,Status,Created,Updated
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/22/2024 14:29,9/30/2024 6:03
I've got a problem!,I'm having an issue with my certificate,Data Quality Level 2 Academy,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/22/2024 15:33,9/30/2024 21:06
I've got a problem!,I can't login to Trainingland,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/22/2024 18:17,9/29/2024 6:00
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/22/2024 20:31,9/23/2024 9:12
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/22/2024 21:48,9/23/2024 23:56
I've got a problem!,I'd like to retake a module/the course,DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/23/2024 9:04,10/1/2024 6:00
I've got a problem!,My Issue isn't listed here,Les principes fondamentaux de DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/23/2024 9:15,9/23/2024 10:18
I've got a problem!,I can't login to Trainingland,Aggregate Data Capture and Validation Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/23/2024 11:58,9/30/2024 6:03
I've got a problem!,I need my Trainingland Account to be created,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/23/2024 12:20,9/30/2024 6:03
I've got a problem!,My Issue isn't listed here,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/23/2024 12:33,9/30/2024 6:03
I've got a problem!,I can't login to Trainingland,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/23/2024 13:01,9/30/2024 6:03
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/23/2024 16:01,9/30/2024 11:47
I've got a problem!,My Issue isn't listed here,Fundamentos de AnÃ¡lisis de Datos Agregados en DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/23/2024 16:52,10/2/2024 6:01
I've got a problem!,I can't login to Trainingland,Aggregate Data Analysis Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/23/2024 17:27,9/23/2024 23:50
I've got a problem!,My Issue isn't listed here,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/23/2024 19:13,9/30/2024 6:03
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Analysis Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/24/2024 9:45,10/3/2024 6:01
I've got a problem!,My Issue isn't listed here,DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/24/2024 9:57,9/26/2024 17:31
I've got a problem!,My Issue isn't listed here,DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/24/2024 11:23,10/1/2024 6:00
I've got a problem!,My Issue isn't listed here,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/24/2024 16:39,9/25/2024 10:12
I've got a problem!,My Issue isn't listed here,Les fondamentaux de DHIS2 ÃvÃ©nements,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/24/2024 17:05,10/2/2024 6:01
